// Initial random seed:
23

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'xy');
initializeTreeSeq();
NUMGENS = 100
W = 50
SIGMA = 1
K = 5
A = 0.363636
SD = 1
SI = 1
SM = 1
L = 4
G = 2000000000
FECUN = 0.25
initializeMutationType(1, 0.5, "g", 0, 2);
initializeGenomicElementType(1, m1, 1);
initializeGenomicElement(g1, 0, 1999999999);
initializeMutationRate(0);
initializeRecombinationRate(1e-09);
initializeInteractionType(1, "xy", reciprocal=T, maxDistance=3);
initializeInteractionType(2, "xy", reciprocal=T, maxDistance=3);

// Starting run at generation <start>:
1 

gen stage pop_size births age density neighbor harm_neigh num_off time
142 late  3154 598 4.06785 3.4694 5.93249 4.28107 0.998732 7.78173
143 early 3909 755 4.08903 4.2999 5.91652 4.2451 1.00256 7.83092
143 late  3159 607 4.08769 3.4749 5.93496 4.29214 0.998101 7.83274
144 early 3942 783 4.07712 4.3362 6.04033 4.30341 0.990107 7.88295
144 late  3186 617 4.07753 3.5046 6.05187 4.37144 0.989956 7.88482
145 early 3974 788 4.07071 4.3714 6.14549 4.40919 0.996225 7.94292
145 late  3218 639 4.06805 3.5398 6.12426 4.40893 0.992231 7.94459
146 early 3983 765 4.09465 4.3813 6.10759 4.42622 1.00176 7.99975
146 late  3191 597 4.16359 3.5101 6.07592 4.45167 1.02789 8.00139
147 early 3976 785 4.14411 4.3736 6.01732 4.36833 1.02867 8.05317
147 late  3225 618 4.15256 3.5475 6.03948 4.43442 1.04155 8.05498
148 early 4070 845 4.0828 4.477 6.22185 4.48837 1.01867 8.10813
